Вариант 5: N=460 точек, размерность=4, seed=1185
Матрица расстояний 460x460 построена за 0.143 с
Задание: профилируйте эту программу (cProfile / line_profiler) и найдите,
сколько времени и почему уходит именно на compute_pairwise_distances().
         437809 function calls (437526 primitive calls) in 0.164 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 inspect.py:3259(format)
      7/5    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
       41    0.000    0.000    0.000    0.000 dataclasses.py:825(_get_field)
     1840    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        5    0.000    0.000    0.000    0.000 dataclasses.py:670(_init_fn)
      7/5    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.000    0.000 __init__.py:175(CompressionParameter)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     1159    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      419    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:635(cached)
        1    0.000    0.000    0.000    0.000 argparse.py:2004(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:2014(parse_known_args)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
    73/45    0.000    0.000    0.000    0.000 annotationlib.py:1144(_get_dunder_annotations)
        1    0.000    0.000    0.000    0.000 argparse.py:2017(_parse_known_args2)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       16    0.000    0.000    0.000    0.000 _colorize.py:115(__annotate__)
        1    0.000    0.000    0.000    0.000 __init__.py:361(namedtuple)
       37    0.000    0.000    0.000    0.000 inspect.py:2771(_format)
        1    0.000    0.000    0.000    0.000 argparse.py:2055(_parse_known_args)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
       29    0.000    0.000    0.000    0.000 enum.py:1041(_add_member_)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
       41    0.000    0.000    0.000    0.000 inspect.py:2681(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 argparse.py:2123(consume_optional)
      146    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        5    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
       12    0.000    0.000    0.000    0.000 inspect.py:1910(_signature_get_user_defined_method)
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
     10/5    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
       30    0.000    0.000    0.000    0.000 dataclasses.py:446(add_fn)
        6    0.000    0.000    0.000    0.000 gettext.py:231(_expand_lang)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
      559    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.000    0.000 inspect.py:2973(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 __init__.py:222(Strategy)
       22    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
        4    0.000    0.000    0.000    0.000 annotationlib.py:452(__getitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:2392(_match_argument)
      592    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
