Вариант 5: N=460 точек, размерность=4, seed=1185
Матрица расстояний 460x460 построена за 0.143 с
Задание: профилируйте эту программу (cProfile / line_profiler) и найдите,
сколько времени и почему уходит именно на compute_pairwise_distances().
         437809 function calls (437526 primitive calls) in 0.164 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        4    0.000    0.000    0.000    0.000 dataclasses.py:336(__set_name__)
       15    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        4    0.000    0.000    0.000    0.000 inspect.py:196(ismethoddescriptor)
       10    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _colorize.py:157(Argparse)
       20    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        5    0.000    0.000    0.000    0.000 argparse.py:1479(_registry_get)
        1    0.000    0.000    0.000    0.000 inspect.py:1693(_shadowed_dict_from_weakref_mro_tuple)
        7    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       12    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        5    0.000    0.000    0.000    0.000 dataclasses.py:1414(dataclass)
        1    0.000    0.000    0.000    0.000 _colorize.py:16(ANSIColors)
        3    0.000    0.000    0.000    0.000 enum.py:334(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 _colorize.py:174(Syntax)
        1    0.000    0.000    0.000    0.000 argparse.py:2646(_get_value)
       29    0.000    0.000    0.000    0.000 enum.py:236(__init__)
        1    0.000    0.000    0.000    0.000 _colorize.py:189(Traceback)
        8    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 _compiler.py:481(_get_charset_prefix)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:656(has_location)
        4    0.000    0.000    0.000    0.000 dataclasses.py:705(<genexpr>)
        1    0.000    0.000    0.000    0.000 _streams.py:33(DecompressReader)
        5    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       24    0.000    0.000    0.000    0.000 inspect.py:2738(default)
        2    0.000    0.000    0.000    0.000 argparse.py:663(_expand_help)
       10    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       10    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:437(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1707(_check_conflict)
        2    0.000    0.000    0.000    0.000 argparse.py:628(format)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:917(__init__)
        5    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(get_filename)
        1    0.000    0.000    0.000    0.000 _colorize.py:157(__annotate__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:359(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:620(_metavar_formatter)
        4    0.000    0.000    0.000    0.000 inspect.py:432(isbuiltin)
        1    0.000    0.000    0.000    0.000 _colorize.py:201(Unittest)
        4    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _colorize.py:174(__annotate__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:750(create_module)
        1    0.000    0.000    0.000    0.000 random.py:888(SystemRandom)
        1    0.000    0.000    0.000    0.000 __init__.py:44(FrameInfo)
        2    0.000    0.000    0.000    0.000 argparse.py:2431(_parse_optional)
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 enum.py:187(__get__)
        5    0.000    0.000    0.000    0.000 _compiler.py:33(_combine_flags)
        6    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        9    0.000    0.000    0.000    0.000 _compiler.py:442(_get_iscased)
        1    0.000    0.000    0.000    0.000 _colorize.py:189(__annotate__)
        1    0.000    0.000    0.000    0.000 _streams.py:9(BaseStream)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        8    0.000    0.000    0.000    0.000 inspect.py:3043(parameters)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        3    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 starter.py:22(variant_params)
        1    0.000    0.000    0.000    0.000 argparse.py:927(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1753(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:998(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        4    0.000    0.000    0.000    0.000 __init__.py:435(<genexpr>)
        8    0.000    0.000    0.000    0.000 inspect.py:3047(return_annotation)
        1    0.000    0.000    0.000    0.000 argparse.py:829(Action)
        1    0.000    0.000    0.000    0.000 _colorize.py:201(__annotate__)
        2    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 argparse.py:2414(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 argparse.py:1338(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1180(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1797(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 _colorize.py:346(set_theme)
        1    0.000    0.000    0.000    0.000 _colorize.py:210(__annotate__)
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:222(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:1399(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1159(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:800(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:1046(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:965(_StoreAction)
        3    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1065(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1211(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:712(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1027(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:758(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1002(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1134(_CountAction)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 argparse.py:1105(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:723(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1327(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1995(_get_positional_actions)
        2    0.000    0.000    0.000    0.000 _colorize.py:322(get_theme)
        1    0.000    0.000    0.000    0.000 shutil.py:81(SpecialFileError)
        1    0.000    0.000    0.000    0.000 argparse.py:734(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 shutil.py:75(Error)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _zstd.set_parameter_types}
        1    0.000    0.000    0.000    0.000 argparse.py:820(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:2521(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 enum.py:1324(value)
        1    0.000    0.000    0.000    0.000 argparse.py:1406(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:702(_get_help_string)
        1    0.000    0.000    0.000    0.000 shutil.py:78(SameFileError)
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 shutil.py:86(ReadError)
        1    0.000    0.000    0.000    0.000 shutil.py:93(_GiveupOnFastCopy)
        1    0.000    0.000    0.000    0.000 shutil.py:89(RegistryError)
        1    0.000    0.000    0.000    0.000 argparse.py:2670(_check_value)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}


